Date,Symbol,Type,Entry Price,Exit Price,Entry Time,Exit Time,Exit Reason,PnL,Trade Count
2024-03-11,ADANIENT,BUY,3250.3,3241.2,2024-03-11 09:20:00,2024-03-11 09:55:00,Stop Loss,-9.1,3
2024-03-11,ADANIENT,SELL,3222.05,3230.25,2024-03-11 11:50:00,2024-03-11 12:50:00,Stop Loss,-8.2,33
2024-03-12,ADANIENT,SELL,3194.0,3177.95,2024-03-12 09:20:00,2024-03-12 09:25:00,Target Hit,16.05,2
2024-03-13,ADANIENT,SELL,3103.3,3078.3,2024-03-13 09:20:00,2024-03-13 09:25:00,Target Hit,25.0,2
2024-03-14,ADANIENT,BUY,2947.0,3000.0,2024-03-14 09:20:00,2024-03-14 09:30:00,Target Hit,53.0,2
2024-03-15,ADANIENT,BUY,3128.0,3117.15,2024-03-15 09:20:00,2024-03-15 09:25:00,Stop Loss,-10.85,3
2024-03-18,ADANIENT,BUY,3083.85,3099.95,2024-03-18 12:20:00,2024-03-18 12:40:00,Target Hit,16.1,27
2024-03-19,ADANIENT,BUY,3152.75,3144.0,2024-03-19 09:30:00,2024-03-19 09:40:00,Stop Loss,-8.75,11
2024-03-19,ADANIENT,SELL,3108.0,3087.0,2024-03-19 09:55:00,2024-03-19 10:15:00,Target Hit,21.0,22
2024-03-20,ADANIENT,SELL,3055.7,3034.0,2024-03-20 09:20:00,2024-03-20 09:55:00,Target Hit,21.7,1
2024-03-21,ADANIENT,BUY,3106.6,3095.15,2024-03-21 11:00:00,2024-03-21 11:15:00,Stop Loss,-11.45,24
2024-03-21,ADANIENT,SELL,3071.0,3062.65,2024-03-21 12:05:00,2024-03-21 15:15:00,Time Exit,8.35,27
2024-03-22,ADANIENT,BUY,3095.85,3114.9,2024-03-22 12:45:00,2024-03-22 13:05:00,Target Hit,19.05,29
2024-03-26,ADANIENT,BUY,3154.65,3144.0,2024-03-26 09:20:00,2024-03-26 09:30:00,Stop Loss,-10.65,2
2024-03-27,ADANIENT,SELL,3112.0,3121.8,2024-03-27 10:10:00,2024-03-27 10:30:00,Stop Loss,-9.8,21
2024-03-28,ADANIENT,SELL,3108.8,3127.5,2024-03-28 09:35:00,2024-03-28 09:55:00,Stop Loss,-18.7,11
2024-03-28,ADANIENT,BUY,3135.0,3153.65,2024-03-28 10:10:00,2024-03-28 10:35:00,Target Hit,18.65,23
2024-04-01,ADANIENT,BUY,3252.05,3269.35,2024-04-01 11:05:00,2024-04-01 11:15:00,Target Hit,17.3,26
2024-01-01,APOLLOHOSP,BUY,5750.0,5749.9,2024-01-01 14:00:00,2024-01-01 15:15:00,Time Exit,-0.1,28
2024-01-02,APOLLOHOSP,SELL,5715.0,5686.0,2024-01-02 09:55:00,2024-01-02 10:35:00,Target Hit,29.0,25
2024-01-03,APOLLOHOSP,SELL,5693.65,5707.95,2024-01-03 09:20:00,2024-01-03 11:00:00,Stop Loss,-14.3,2
2024-01-03,APOLLOHOSP,BUY,5747.0,5776.2,2024-01-03 13:15:00,2024-01-03 14:20:00,Target Hit,29.2,35
2024-01-04,APOLLOHOSP,BUY,5817.0,5793.7,2024-01-04 09:20:00,2024-01-04 09:40:00,Stop Loss,-23.3,1
2024-01-04,APOLLOHOSP,SELL,5756.55,5773.95,2024-01-04 09:45:00,2024-01-04 10:35:00,Stop Loss,-17.4,18
2024-01-05,APOLLOHOSP,BUY,5796.0,5777.25,2024-01-05 12:00:00,2024-01-05 12:30:00,Stop Loss,-18.75,32
2024-01-05,APOLLOHOSP,SELL,5732.1,5753.6,2024-01-05 14:15:00,2024-01-05 15:00:00,Stop Loss,-21.5,37
2024-01-08,APOLLOHOSP,SELL,5683.8,5701.9,2024-01-08 09:30:00,2024-01-08 09:50:00,Stop Loss,-18.1,14
2024-01-09,APOLLOHOSP,BUY,5737.0,5720.0,2024-01-09 09:20:00,2024-01-09 09:40:00,Stop Loss,-17.0,2
2024-01-10,APOLLOHOSP,SELL,5766.9,5781.65,2024-01-10 10:00:00,2024-01-10 10:40:00,Stop Loss,-14.75,24
2024-01-11,APOLLOHOSP,BUY,5861.6,5843.95,2024-01-11 12:10:00,2024-01-11 13:15:00,Stop Loss,-17.65,27
2024-01-12,APOLLOHOSP,BUY,5892.9,5876.0,2024-01-12 09:25:00,2024-01-12 09:40:00,Stop Loss,-16.9,10
2024-01-12,APOLLOHOSP,SELL,5816.6,5836.0,2024-01-12 10:55:00,2024-01-12 11:25:00,Stop Loss,-19.4,29
2024-01-15,APOLLOHOSP,BUY,5852.4,5835.15,2024-01-15 09:30:00,2024-01-15 09:35:00,Stop Loss,-17.25,12
2024-01-16,APOLLOHOSP,BUY,5890.0,5921.0,2024-01-16 09:50:00,2024-01-16 10:40:00,Target Hit,31.0,21
2024-01-17,APOLLOHOSP,BUY,5907.0,5939.0,2024-01-17 09:20:00,2024-01-17 09:45:00,Target Hit,32.0,2
2024-01-18,APOLLOHOSP,SELL,5930.3,5877.3,2024-01-18 09:20:00,2024-01-18 09:35:00,Target Hit,53.0,1
2024-01-18,APOLLOHOSP,BUY,6003.65,5971.0,2024-01-18 11:45:00,2024-01-18 12:30:00,Stop Loss,-32.65,33
2024-01-19,APOLLOHOSP,BUY,6020.0,6056.9,2024-01-19 13:15:00,2024-01-19 14:20:00,Target Hit,36.9,29
2024-01-20,APOLLOHOSP,SELL,6083.1,6099.35,2024-01-20 09:25:00,2024-01-20 09:45:00,Stop Loss,-16.25,6
2024-01-20,APOLLOHOSP,BUY,6150.0,6188.1,2024-01-20 09:55:00,2024-01-20 10:55:00,Target Hit,38.1,23
2024-01-23,APOLLOHOSP,SELL,6175.2,6150.0,2024-01-23 14:05:00,2024-01-23 15:15:00,Time Exit,25.2,32
2024-01-24,APOLLOHOSP,BUY,6164.55,6149.05,2024-01-24 11:00:00,2024-01-24 11:25:00,Stop Loss,-15.5,25
2024-01-25,APOLLOHOSP,SELL,6169.0,6187.8,2024-01-25 10:45:00,2024-01-25 11:15:00,Stop Loss,-18.8,26
2024-01-29,APOLLOHOSP,BUY,6229.0,6272.4,2024-01-29 09:20:00,2024-01-29 09:25:00,Target Hit,43.4,2
2024-01-30,APOLLOHOSP,SELL,6320.1,6343.3,2024-01-30 09:25:00,2024-01-30 09:40:00,Stop Loss,-23.2,13
2024-01-31,APOLLOHOSP,BUY,6305.85,6290.0,2024-01-31 09:25:00,2024-01-31 09:55:00,Stop Loss,-15.85,11
2024-02-01,APOLLOHOSP,BUY,6356.8,6327.75,2024-02-01 09:30:00,2024-02-01 11:15:00,Stop Loss,-29.05,14
2024-02-02,APOLLOHOSP,SELL,6298.55,6315.6,2024-02-02 11:10:00,2024-02-02 11:15:00,Stop Loss,-17.05,26
2024-02-05,APOLLOHOSP,SELL,6284.0,6301.55,2024-02-05 10:15:00,2024-02-05 10:40:00,Stop Loss,-17.55,19
2024-02-06,APOLLOHOSP,SELL,6215.95,6170.4,2024-02-06 09:30:00,2024-02-06 10:00:00,Target Hit,45.55,12
